scope,class,spec,race,faction,spell_name,spell_id,base_cooldown,effect_duration,category,verification_status,source_url,notes
spec,Death Knight,Frost,,,Pillar of Frost,51271,45 sec,,offensive,verified_web,https://www.wowdb.com/spells/51271-pillar-of-frost,
spec,Death Knight,Frost,,,Breath of Sindragosa,152279,2 min,,offensive,memory_compiled,,Channel CD is talent/build-sensitive.
spec,Death Knight,Unholy,,,Army of the Dead,42650,1.5 min,,offensive,verified_web,https://www.wowdb.com/spells/42650-army-of-the-dead,
spec,Death Knight,Unholy,,,Dark Transformation,63560,1 min,,offensive,memory_compiled,,
spec,Death Knight,Unholy,,,Apocalypse,275699,45 sec,,offensive,memory_compiled,,
spec,Demon Hunter,Havoc,,,Metamorphosis,191427,4 min,,offensive,memory_compiled,,
spec,Demon Hunter,Havoc,,,Eye Beam,198013,40 sec,,offensive,memory_compiled,,
spec,Demon Hunter,Vengeance,,,Fel Devastation,212084,1 min,,offensive_defensive,memory_compiled,,
spec,Demon Hunter,Vengeance,,,Fiery Brand,204021,1 min,,defensive,memory_compiled,,
spec,Demon Hunter,Devourer,,,Void Metamorphosis,1217605,resource_gated,,offensive,verified_web,https://www.wowdb.com/spells/1217605-void-metamorphosis,Triggered by reaching required Soul Fragments rather than a standard cooldown.
spec,Demon Hunter,Devourer,,,Collapsing Star,1221167,resource_gated,,offensive,verified_web,https://www.wowdb.com/spells/1221167-collapsing-star,Available during Void Metamorphosis windows; not a standard cooldown.
spec,Demon Hunter,Devourer,,,Reap,1226019,gcd_only,,builder_spender_window,verified_web,https://www.wowdb.com/spells/1226019-reap,Included because it is central to Devourer burst windows.
spec,Druid,Balance,,,Celestial Alignment,194223,3 min,,offensive,memory_compiled,,
spec,Druid,Feral,,,Berserk,106951,3 min,,offensive,memory_compiled,,
spec,Druid,Guardian,,,Incarnation: Guardian of Ursoc,102558,3 min,,defensive_offensive,memory_compiled,,
spec,Druid,Restoration,,,Tranquility,740,3 min,,heal,memory_compiled,,
spec,Druid,All,,,Convoke the Spirits,391528,1 min,,offensive_heal,memory_compiled,,"Talent-dependent, available across specs via talenting."
spec,Evoker,Devastation,,,Dragonrage,375087,2 min,,offensive,memory_compiled,,
spec,Evoker,Preservation,,,Rewind,363534,4 min,,heal,memory_compiled,,
spec,Evoker,Augmentation,,,Ebon Might,395152,30 sec,,support,memory_compiled,,
spec,Hunter,Beast Mastery,,,Bestial Wrath,19574,1.5 min,,offensive,memory_compiled,,
spec,Hunter,Marksmanship,,,Trueshot,288613,2 min,,offensive,memory_compiled,,
spec,Hunter,Survival,,,Coordinated Assault,266779,2 min,,offensive,memory_compiled,,
spec,Mage,Arcane,,,Arcane Surge,365350,1.5 min,,offensive,memory_compiled,,
spec,Mage,Fire,,,Combustion,190319,2 min,,offensive,memory_compiled,,
spec,Mage,Frost,,,Icy Veins,12472,3 min,,offensive,memory_compiled,,
spec,Monk,Brewmaster,,,Celestial Brew,322507,1 min,,defensive,memory_compiled,,
spec,Monk,Mistweaver,,,Revival,115310,3 min,,heal,memory_compiled,,
spec,Monk,Windwalker,,,"Storm, Earth, and Fire",137639,1.5 min,,offensive,memory_compiled,,
spec,Monk,Windwalker,,,"Invoke Xuen, the White Tiger",123904,2 min,,offensive,memory_compiled,,
spec,Paladin,Holy,,,Avenging Wrath,31884,2 min,,heal_offensive,memory_compiled,,
spec,Paladin,Protection,,,Guardian of Ancient Kings,86659,5 min,,defensive,memory_compiled,,
spec,Paladin,Retribution,,,Avenging Wrath,31884,2 min,,offensive,memory_compiled,,
spec,Paladin,All,,,Divine Toll,375576,1 min,,offensive_utility,memory_compiled,,Talent-dependent in modern talent trees.
spec,Priest,Discipline,,,Evangelism,246287,1.5 min,,heal,memory_compiled,,
spec,Priest,Holy,,,Divine Hymn,64843,3 min,,heal,memory_compiled,,
spec,Priest,Shadow,,,Void Eruption,228260,1 min,,offensive,memory_compiled,,
spec,Priest,All,,,Power Infusion,10060,2 min,,support,memory_compiled,,
spec,Rogue,Assassination,,,Deathmark,360194,2 min,,offensive,memory_compiled,,
spec,Rogue,Outlaw,,,Adrenaline Rush,13750,3 min,,offensive,memory_compiled,,
spec,Rogue,Subtlety,,,Shadow Blades,121471,3 min,,offensive,memory_compiled,,
spec,Rogue,Subtlety,,,Symbols of Death,212283,30 sec,,offensive,memory_compiled,,
spec,Shaman,Elemental,,,Stormkeeper,191634,1 min,,offensive,memory_compiled,,
spec,Shaman,Enhancement,,,Feral Spirit,51533,2 min,,offensive,memory_compiled,,
spec,Shaman,Restoration,,,Healing Tide Totem,108280,3 min,,heal,memory_compiled,,
spec,Shaman,Elemental/Enhancement/Restoration,,,Ascendance,114050,3 min,,offensive_heal,needs_ingame_check,,SpellID differs by spec; verify exact per-spec ID before hard-coding.
spec,Warlock,Affliction,,,Summon Darkglare,205180,2 min,,offensive,memory_compiled,,
spec,Warlock,Demonology,,,Summon Demonic Tyrant,265187,1.5 min,,offensive,memory_compiled,,
spec,Warlock,Destruction,,,Summon Infernal,1122,3 min,,offensive,memory_compiled,,
spec,Warrior,Arms,,,Avatar,107574,1.5 min,,offensive,memory_compiled,,
spec,Warrior,Fury,,,Recklessness,1719,1.5 min,,offensive,verified_web,https://www.wowdb.com/spells/1719-recklessness,
spec,Warrior,Protection,,,Shield Wall,871,4 min,,defensive,memory_compiled,,
spec,Warrior,Arms/Fury,,,Bladestorm,227847,1.5 min,,offensive,memory_compiled,,
